bigger_id,c_users,geo
X391Y529,432,"POLYGON((16.9765012492607 52.4880346441691, 16.9691400553322 52.4879084770726, 16.969347081579 52.4834148469589, 16.9715552092831 52.4834527390363, 16.9767075263565 52.4835409936998, 16.9765012492607 52.4880346441691))"
X368Y542,111,"POLYGON((16.8027587388655 52.4264691528762, 16.8029822223454 52.4219759578937, 16.8103316452141 52.4221123426646, 16.8101089078679 52.4266055596398, 16.8027587388655 52.4264691528762))"
X397Y537,116,"POLYGON((17.0149267844967 52.4527084926233, 17.0151288883617 52.448214709613, 17.0195417508806 52.4482887093248, 17.0224836698684 52.4483379510408, 17.0222823136908 52.4528317539318, 17.0149267844967 52.4527084926233))"
X396Y544,9,"POLYGON((17.0165421236676 52.4167581170076, 17.016340392609 52.4212519279009, 17.0089901462975 52.4211283489925, 17.0091521324491 52.4175333165377, 17.0091926236483 52.4166345580253, 17.0165421236676 52.4167581170076))"
X369Y540,25641,"POLYGON((16.8172370858748 52.4312347445957, 16.8170149775744 52.4357279752951, 16.8126039381474 52.4356464336994, 16.809663256934 52.4355919812844, 16.8098861117814 52.4310987725131, 16.8172370858748 52.4312347445957))"
X387Y555,8737,"POLYGON((16.9451384505295 52.370565676574, 16.9453470381075 52.3660720239888, 16.9526878562513 52.3661994658997, 16.9525007994638 52.370243771895, 16.9524800126388 52.3706931390269, 16.9451384505295 52.370565676574))"
X368Y550,2448,"POLYGON((16.8047679709467 52.3860302502162, 16.8121114318054 52.3861664592056, 16.81188916364 52.3906597089926, 16.8052793761167 52.3905371216613, 16.8045449582157 52.3905234780461, 16.8047679709467 52.3860302502162))"
X374Y534,490,"POLYGON((16.8526817148897 52.4588677288326, 16.8524629937123 52.4633610436143, 16.8451064980865 52.4632272040314, 16.8453040227985 52.4591832403395, 16.8453259670933 52.4587339108364, 16.8526817148897 52.4588677288326))"
X397Y557,9686,"POLYGON((17.0191597945385 52.3583382129524, 17.0264996635465 52.3584610576091, 17.0262993661799 52.3629549400789, 17.0189587534087 52.3628320756218, 17.0191597945385 52.3583382129524))"
X385Y534,2717,"POLYGON((16.9335987057905 52.4603095518397, 16.9333882120602 52.4648030992159, 16.9260310923018 52.4646742897494, 16.9262423340809 52.46018076315, 16.9335987057905 52.4603095518397))"
X388Y534,935,"POLYGON((16.9556681533582 52.4606931743308, 16.955459903891 52.4651867835954, 16.9481026180518 52.4650593461468, 16.9483116156262 52.4605657574379, 16.9556681533582 52.4606931743308))"
X382Y559,29,"POLYGON((16.9168300128477 52.3475833800635, 16.9166186723495 52.3520769659073, 16.9092803612649 52.3519473081634, 16.9094924448498 52.3474537432114, 16.9168300128477 52.3475833800635))"
X387Y556,2818,"POLYGON((16.9455555707513 52.3615783673803, 16.9528956451252 52.3617057887533, 16.9526878562513 52.3661994658997, 16.9453470381075 52.3660720239888, 16.9455555707513 52.3615783673803))"
X391Y533,434,"POLYGON((16.9701746402705 52.4654402864199, 16.9775320904167 52.4655663517802, 16.9773260310118 52.4700600182664, 16.9699678325035 52.4699339325671, 16.9700298805648 52.4685858391438, 16.9701746402705 52.4654402864199))"
X391Y549,9187,"POLYGON((16.9734761557793 52.3935414029936, 16.9808216588916 52.39366714349, 16.9806164671957 52.3981608740339, 16.9732702188667 52.3980351132644, 16.9734761557793 52.3935414029936))"
X400Y548,2489,"POLYGON((17.0467351126361 52.3992721876699, 17.0465762878441 52.4028673125718, 17.0465365764126 52.4037660934005, 17.0391891027598 52.4036444197639, 17.0393883845645 52.3991505336494, 17.0467351126361 52.3992721876699))"
X387Y547,12707,"POLYGON((16.9434677699582 52.4065147524071, 16.9436767977047 52.4020211320111, 16.951023573053 52.4021487383742, 16.9508152908388 52.4066423793454, 16.9434677699582 52.4065147524071))"
X372Y537,831,"POLYGON((16.8386085774945 52.4455691251291, 16.8384105365568 52.4496130803554, 16.8310563997455 52.4494783915004, 16.831277189528 52.4449851294321, 16.838630579141 52.4451197965664, 16.8386085774945 52.4455691251291))"
