day_type,bigger_id,c_users,geo
niedziela,X402Y546,8,"POLYGON((17.0610345835934 52.4085020121998, 17.0608374346691 52.4129959490241, 17.053488364703 52.412875149278, 17.0536862596377 52.4083812319308, 17.0610345835934 52.4085020121998))"
dzien_roboczy,X402Y546,5,"POLYGON((17.0610345835934 52.4085020121998, 17.0608374346691 52.4129959490241, 17.053488364703 52.412875149278, 17.0536862596377 52.4083812319308, 17.0610345835934 52.4085020121998))"
niedziela,X386Y525,1,"POLYGON((16.939065427474 52.500879851086, 16.9388551828681 52.5053733829394, 16.9314912660623 52.5052448442871, 16.9317022605125 52.5007513331747, 16.9324385747048 52.5007642055724, 16.939065427474 52.500879851086))"
dzien_roboczy,X386Y525,1,"POLYGON((16.939065427474 52.500879851086, 16.9388551828681 52.5053733829394, 16.9314912660623 52.5052448442871, 16.9317022605125 52.5007513331747, 16.9324385747048 52.5007642055724, 16.939065427474 52.500879851086))"
sobota,X395Y545,4,"POLYGON((17.0018431770086 52.4165105424435, 17.0020463470568 52.4120167674848, 17.0093950476194 52.412140763071, 17.0091926236483 52.4166345580253, 17.0018431770086 52.4165105424435))"
niedziela,X395Y545,8,"POLYGON((17.0018431770086 52.4165105424435, 17.0020463470568 52.4120167674848, 17.0093950476194 52.412140763071, 17.0091926236483 52.4166345580253, 17.0018431770086 52.4165105424435))"
dzien_roboczy,X395Y545,3,"POLYGON((17.0018431770086 52.4165105424435, 17.0020463470568 52.4120167674848, 17.0093950476194 52.412140763071, 17.0091926236483 52.4166345580253, 17.0018431770086 52.4165105424435))"
sobota,X391Y543,57,"POLYGON((16.9737097107718 52.4205288134785, 16.979589697 52.4206294667051, 16.9793841804846 52.4251231732292, 16.9720334567353 52.4249972907344, 16.9722397196449 52.4205036045081, 16.9737097107718 52.4205288134785))"
niedziela,X391Y543,58,"POLYGON((16.9737097107718 52.4205288134785, 16.979589697 52.4206294667051, 16.9793841804846 52.4251231732292, 16.9720334567353 52.4249972907344, 16.9722397196449 52.4205036045081, 16.9737097107718 52.4205288134785))"
dzien_roboczy,X391Y543,51,"POLYGON((16.9737097107718 52.4205288134785, 16.979589697 52.4206294667051, 16.9793841804846 52.4251231732292, 16.9720334567353 52.4249972907344, 16.9722397196449 52.4205036045081, 16.9737097107718 52.4205288134785))"
